cust_id,year_of_birth,educational_status_code,marital_status,annual_income,full_name
20202049,1971,GD,Divorced,30372,Navya Vish
20202198,1971,PH,Relationship,43624,Souvik Saxena
20202038,1972,GD,Single,30675,Naras Uddin
20202177,1972,PH,Single,41644,Reyansh Sankaran
20202182,1972,MS,Divorced,37760,Taia Sharma
20201739,1973,GD,Widow,42429,Adarsh Bala
20201789,1973,GD,Single,79593,Anantha Bhatnagar
20201826,1973,HS,Relationship,54913,Devica Chahal
20201859,1973,GD,Single,55375,Gambhiri Tandon
20201891,1973,BS,Single,24882,Haimi Varty
20201961,1973,GD,Divorced,15287,Jyotika Kumar
20201965,1973,,Relationship,43776,Kala Shan
20202028,1973,GD,Single,27255,Nabh Pawan
20202045,1973,BS,Relationship,17349,Naveen Darsha
20202094,1973,PH,Married,51012,Pallavi Rastogi
20202124,1973,MS,Relationship,82584,Premala Randhawa
20202158,1973,MS,Married,42207,Ramesha Salvi
20202162,1973,GD,Widow,70165,Ranee Sami
20202181,1973,MS,Married,38961,Ripam Saran
20201793,1973,MS,Relationship,,Svara Shankar
20201709,1974,PH,Widowed,30351,Avantas Ahuja
20201986,1974,GD,Widowed,30631,Kanak Bhat
20202054,1974,GD,Divorced,72099,Nayati Gandhi
20202155,1974,GD,Married,65991,Rama Sahni
20201735,1975,MS,Married,68657,Abishek Bala
20201745,1975,MS,Relationship,7500,Aditi Balasubramanian
20201762,1975,GD,Single,66653,Akshay Basu
20201795,1975,PH,Married,23626,Anila Bhavsar
20201832,1975,MS,Married,61331,Dhavala Chander
20201893,1975,HS,Divorced,36640,Hansa Vasa
20201911,1975,GD,Married,46097,Iha Kuruvilla
20201934,1975,,Single,15033,Janardan Maharaj
20201985,1975,MS,Married,,Kami Goel
20202001,1975,GD,Married,35246,Kathani Srini
20202097,1975,GD,Widowed,43824,Param Rajagopal
20202154,1975,HS,Married,70829,Ram Saha
20202171,1975,GD,Married,61456,Ravi Sangha
20201712,1976,BS,Relationship,7500,Barsati Anand
20201727,1976,GD,Widowed,53359,Abha Bains
20201746,1976,GD,Widowed,79941,Aditya Balay
20201747,1976,HS,Relationship,40860,Adri Bali
20201982,1976,GD,Widowed,51369,Kamala Rai
20202050,1976,,Relationship,33181,Naya Mehra
20202055,1976,,Relationship,60000,Neha Lata
20202187,1976,MS,Relationship,56290,Rishika Sarkar
20202192,1976,GD,Divorced,46310,Sneha Sarraf
20201738,1976,HS,Married,23718,Tanaya Shroff
20201753,1977,GD,Relationship,35790,Aishwarya Bansal
20201754,1977,GD,Divorced,82582,Aja Barad
20202178,1977,MS,Married,55842,Rhynisha Sant
20202180,1977,GD,Married,41124,Ridhi Saraf
20202056,1978,GD,Widowed,38643,Nikhil Chauhan
20202063,1978,GD,Relationship,19849,Nisha Nagpal
20202064,1978,PH,Divorced,37717,Nishan Joshi
20202174,1978,GD,Married,38415,Rekha Sani
20202197,1978,GD,Divorced,55563,Tamal Shenoy
20201722,1979,,Relationship,2447,Kalyanavata Badal
20201719,1980,MS,Single,76995,Hardeep Atwal
20201764,1980,PH,Divorced,67680,Alagan Bath
20201786,1980,GD,Single,29440,Ananda Bhasin
20201834,1980,GD,Relationship,,Dhruv Chandran
20201913,1980,PH,Relationship,44377,Indivar Lad
20201936,1980,HS,Married,22212,Jasleen Majumdar
20201993,1980,GD,Relationship,82497,Karishma Patel
20202003,1980,PH,Married,46377,Manu Sara
20202024,1980,PH,Divorced,64325,Mrunal Sen
20202090,1980,PH,Widowed,83664,Opal Mati
20202099,1980,GD,Divorced,23442,Parees Ganesh
20202133,1980,HS,Relationship,77572,Priyanka Rattan
20202069,1980,GD,Relationship,72025,Suchi Sem
20202091,1980,GD,Relationship,32048,Sundari Seth
20201797,1980,GD,Widow,47916,Syona Shanker
20201705,1981,PH,Widowed,58293,Amrish Aggarwal
20201798,1981,GD,Divorced,51813,Anisha Biswas
20201835,1981,PH,Widowed,41551,Dhruvesh Char
20201867,1981,GD,Relationship,62551,Garuda Tella
20201914,1981,MS,Widowed,46014,Indra Lal
20201937,1981,MS,Divorced,23661,Jatin Malhotra
20201981,1981,BS,Relationship,24480,Kalyani Nara
20202004,1981,GD,Divorced,39747,Mathura Rana
20202070,1981,PH,Widowed,52614,Nitesh Punj
20202100,1981,HS,Married,14515,Paresh Jindal
20202134,1981,GD,Married,75236,Rachana Ratti
20202173,1981,PH,Relationship,68491,Ravindra Sanghvi
20201701,1982,GD,Single,58138,Aditi Acharya
20201721,1982,GD,Divorced,37040,Jitendra Babu
20201759,1982,GD,Relationship,,Akanksha Barman
20201761,1982,MS,Single,75777,Akhil Bassi
20201766,1982,GD,Widowed,25721,Alka Batra
20201794,1982,MS,Single,42394,Anik Bhatti
20201799,1982,HS,Married,78497,Anjali Boase
20201831,1982,GD,Single,62998,Dhaval Chanda
20201863,1982,GD,Single,23228,Garima Tata
20201868,1982,,Divorced,52332,Gatik Thaker
20201892,1982,PH,Married,66973,Hajari Varughese
20201897,1982,MS,Divorced,69661,Harini Venkatesh
20201910,1982,GD,Single,64497,Hiyan Kurian
20201933,1982,,Divorced,38590,Janaki Mahal
20201999,1982,GD,Relationship,26980,Kashiti Arun
20202000,1982,PH,Divorced,57912,Kasi Madan
20202005,1982,GD,Relationship,,Mayank Raman
20202096,1982,PH,Relationship,68682,Panchali Bhatt
20202130,1982,GD,Married,61314,Priya Ratta
20202135,1982,GD,Single,30015,Rachit Rau
20202066,1982,GD,Single,54803,Subrahmanyan Sekhon
20202101,1982,HS,Widowed,31395,Sunila Sha
20201711,1983,GD,Single,,Avidosa Amble
20201767,1983,GD,Relationship,2500,Alpana Batta
20201800,1983,PH,Single,50150,Ankan Bobal
20201837,1983,BS,Divorced,9548,Dhyana Chatterjee
20201869,1983,GD,Single,66951,Gaura Thakkar
20201898,1983,GD,Married,80067,Harita Verma
20201916,1983,GD,Divorced,41443,Iresh Lala
20202102,1983,GD,Single,75276,Parvani Chakrabarti
20202136,1983,MS,Relationship,82634,Rachna Raval
20202072,1983,GD,Divorced,48178,Sujay Sen
20201827,1984,GD,Single,79607,Devika Chakrabarti
20201838,1984,PH,Married,33762,Dinesh Srinivas
20201870,1984,,Relationship,68247,Gaurav Thakur
20201899,1984,GD,Widowed,86718,Harsha Vig
20201917,1984,,Married,52195,Isha Lall
20201940,1984,HS,Relationship,74960,Javana Mall
20202007,1984,GD,Relationship,82446,Mayur Subram
20202073,1984,MS,Married,29548,Nithanya Veena
20202103,1984,GD,Single,42373,Parvati Meena
20201801,1984,HS,Married,47823,Syreeta Sharaf
20202137,1984,GD,Divorced,67272,Tarun Soni
20201769,1985,GD,Married,69096,Amar Bava
20201802,1985,PH,Divorced,34554,Anshu Bora
20201839,1985,PH,Widowed,35860,Dipaka Srinivasan
20201856,1985,GD,Divorced,69372,Fateh Tailor
20201871,1985,GD,Relationship,48844,Gauri Thaman
20201900,1985,PH,Single,46854,Hasika Virk
20201918,1985,MS,Widowed,83790,Ishan Lalla
20202008,1985,GD,Divorced,77457,Meena Mehta
20202074,1985,GD,Widowed,63810,Nitish Mahajan
20202104,1985,GD,Married,30507,Patel Raj
20202138,1985,MS,Widow,51529,Radha Ravel
20201770,1986,GD,Widowed,74854,Amara Bawa
20201803,1986,GD,Relationship,85693,Anuj Bora
20201840,1986,PH,Single,36921,Divakar Srivastava
20201901,1986,GD,Single,69142,Hastin Viswanathan
20201919,1986,,Single,44551,Ishana Lanka
20201942,1986,GD,Married,64961,Javed Mallick
20201979,1986,PH,Married,69867,Kalyan Chander
20201998,1986,MS,Widowed,42386,Kash Engineer
20202009,1986,,Married,64100,Meghana Subramani
20202052,1986,GD,Single,71952,Nayana Muthu
20202105,1986,PH,Divorced,,Pavan Raja
20202139,1986,PH,Married,32011,Radhika Ravi
20201715,1987,GD,Married,17323,Devasru Anne
20201771,1987,MS,Single,66991,Amare Bedi
20201804,1987,PH,Widowed,65846,Anuja Borah
20201841,1987,MS,Single,92859,Divya Subramaniam
20201873,1987,GD,Single,50447,Gautam Tiwari
20201902,1987,GD,Relationship,75922,Hetal Vohra
20201920,1987,GD,Single,69508,Jag Lata
20201943,1987,GD,Widowed,22804,Jaya Mammen
20202010,1987,MS,Widowed,42670,Mena Sethi
20202076,1987,MS,Single,46098,Nitya Manju
20202106,1987,GD,Relationship,48006,Pavani Rajagopal
20202140,1987,HS,Married,7500,Raghu Ray
20201758,1988,GD,Married,27938,Ajit Baria
20201805,1988,GD,Relationship,38638,Anusha Borde
20201874,1988,PH,Married,,Gayatri Toor
20201903,1988,,Divorced,63693,Hilol Vora
20201921,1988,HS,Single,45204,Jagannath Loke
20201944,1988,,Single,73687,Jayashri Mand
20201997,1988,HS,Relationship,35388,Karuka Sai
20202011,1988,GD,Single,12571,Minaal Vijaya
20202077,1988,GD,Single,22585,Nivritti Dutta
20202141,1988,GD,Married,28691,Ragni Reddy
20201772,1988,HS,Single,,Tanuja Sibal
20201729,1989,GD,Single,38360,Abhay Bajaj
20201731,1989,MS,Divorced,10979,Abhilasha Bakshi
20201755,1989,GD,Single,66373,Ajay Barad
20201806,1989,BS,Divorced,24594,Apu Borra
20201843,1989,GD,Divorced,86111,Divyesh Subramanian
20201875,1989,GD,Divorced,52074,Geet Tripathi
20201904,1989,PH,Single,102160,Himani Vyas
20201922,1989,GD,Married,72460,Jagannatha Loyal
20201945,1989,GD,Single,61074,Jayeenita Manda
20202012,1989,GD,Single,22574,Minali Malik
20202078,1989,GD,Married,30279,Niyati Sandeep
20202108,1989,PH,Relationship,86164,Piroj Rajagopalan
20202129,1989,HS,Relationship,26116,Priti Rastogi
20202142,1989,PH,Married,56223,Rahul Rege
20201774,1990,PH,Divorced,60631,Ameya Behl
20201807,1990,GD,Married,49096,Aradhya Bose
20201844,1990,PH,Single,68352,Dulal Sule
20201876,1990,PH,Relationship,80427,Girija Trivedi
20201905,1990,PH,Married,40637,Hina Kulkarni
20201923,1990,PH,Divorced,77622,Jagat Luthra
20202013,1990,GD,Single,,Minda Narayan
20202109,1990,PH,Single,30351,Pooja Rajan
20202120,1990,MS,Relationship,49505,Pravin Ramanathan
20201785,1990,GD,Single,81361,Tanveer Sidhu
20201775,1991,GD,Single,28332,Amish Ben
20201808,1991,GD,Widowed,52413,Arav Brahmbhatt
